case_id,cell_type,source_section,source_excel_row,reference_label,intervention,mapping_status,assay_comparable,input_ids_json,silence_ids_json,readout_ids_json,reviewer_1,reviewer_2,review_decision,notes
shiu_table3_row_002,roundup,mn9_optogenetic_activation,2,positive,activation,PENDING,PENDING,[],[],[],,,PENDING,Fill only from source-grounded FlyWire-630 evidence; do not infer from cell_type name.
shiu_table3_row_003,diatom,mn9_optogenetic_activation,3,positive,activation,PENDING,PENDING,[],[],[],,,PENDING,Fill only from source-grounded FlyWire-630 evidence; do not infer from cell_type name.
shiu_table3_row_004,sink_sync,mn9_optogenetic_activation,4,positive,activation,PENDING,PENDING,[],[],[],,,PENDING,Fill only from source-grounded FlyWire-630 evidence; do not infer from cell_type name.
shiu_table3_row_005,G2N_1,mn9_optogenetic_activation,5,positive,activation,PENDING,PENDING,[],[],[],,,PENDING,Fill only from source-grounded FlyWire-630 evidence; do not infer from cell_type name.
shiu_table3_row_006,clavicle,mn9_optogenetic_activation,6,positive,activation,PENDING,PENDING,[],[],[],,,PENDING,Fill only from source-grounded FlyWire-630 evidence; do not infer from cell_type name.
shiu_table3_row_007,Fdg,mn9_optogenetic_activation,7,positive,activation,PENDING,PENDING,[],[],[],,,PENDING,Fill only from source-grounded FlyWire-630 evidence; do not infer from cell_type name.
shiu_table3_row_008,bract,mn9_optogenetic_activation,8,positive,activation,PENDING,PENDING,[],[],[],,,PENDING,Fill only from source-grounded FlyWire-630 evidence; do not infer from cell_type name.
shiu_table3_row_009,vice,mn9_optogenetic_activation,9,negative,activation,PENDING,PENDING,[],[],[],,,PENDING,Fill only from source-grounded FlyWire-630 evidence; do not infer from cell_type name.
shiu_table3_row_010,rattle,mn9_optogenetic_activation,10,positive,activation,PENDING,PENDING,[],[],[],,,PENDING,Fill only from source-grounded FlyWire-630 evidence; do not infer from cell_type name.
shiu_table3_row_011,FMIn,mn9_optogenetic_activation,11,positive,activation,PENDING,PENDING,[],[],[],,,PENDING,Fill only from source-grounded FlyWire-630 evidence; do not infer from cell_type name.
shiu_table3_row_012,TH_VUM,mn9_optogenetic_activation,12,positive,activation,PENDING,PENDING,[],[],[],,,PENDING,Fill only from source-grounded FlyWire-630 evidence; do not infer from cell_type name.
shiu_table3_row_013,aster,mn9_optogenetic_activation,13,negative,activation,PENDING,PENDING,[],[],[],,,PENDING,Fill only from source-grounded FlyWire-630 evidence; do not infer from cell_type name.
shiu_table3_row_014,seagull,mn9_optogenetic_activation,14,negative,activation,PENDING,PENDING,[],[],[],,,PENDING,Fill only from source-grounded FlyWire-630 evidence; do not infer from cell_type name.
shiu_table3_row_015,mist,mn9_optogenetic_activation,15,negative,activation,PENDING,PENDING,[],[],[],,,PENDING,Fill only from source-grounded FlyWire-630 evidence; do not infer from cell_type name.
shiu_table3_row_016,kitty,mn9_optogenetic_activation,16,negative,activation,PENDING,PENDING,[],[],[],,,PENDING,Fill only from source-grounded FlyWire-630 evidence; do not infer from cell_type name.
