case_id,split,source_excel_row,cell_type,reference_label,observed_response_fraction,source_section,assay,stimulus,intervention,readout,driver_line_info,mapping_review_status,comparability_review_status,reviewer_1,reviewer_2,reviewer_notes
shiu_table3_row_002,development,2,roundup,positive,1.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS47730: .9, SS47731: .8, SS47744: 1, SS47745: .9; See also Shiu, Sterne et al., 2022",PENDING,PENDING,,,
shiu_table3_row_003,development,3,diatom,positive,0.6,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS40945: 0.4; SS35298: .6,PENDING,PENDING,,,
shiu_table3_row_004,development,4,sink_sync,positive,0.2,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS31372: 0.2,PENDING,PENDING,,,
shiu_table3_row_005,held_out,5,G2N_1,positive,1.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS56399: 1; See also Shiu, Sterne et al., 2022",PENDING,PENDING,,,
shiu_table3_row_006,development,6,clavicle,positive,0.5,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS48947: 0.5, See also Shiu, Sterne et al., 2022",PENDING,PENDING,,,
shiu_table3_row_007,held_out,7,Fdg,positive,0.8,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS31333: 0.8,  See also Shiu, Sterne et al., 2022; Flood et al., 2013",PENDING,PENDING,,,
shiu_table3_row_008,development,8,bract,positive,0.8,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS31320: 0.8, SS31386: 0.5; See also Shiu, Sterne et al., 2022",PENDING,PENDING,,,
shiu_table3_row_009,held_out,9,vice,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS49415: 0,PENDING,PENDING,,,
shiu_table3_row_010,development,10,rattle,positive,0.9,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS46917: .9; SS:50091: .9; See also Shiu, Sterne et al., 2022",PENDING,PENDING,,,
shiu_table3_row_011,held_out,11,FMIn,positive,1.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS48944: 0.7, SS48949: 0.7, SS48948: 1; See also Shiu, Sterne et al., 2022",PENDING,PENDING,,,
shiu_table3_row_012,development,12,TH_VUM,positive,1.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS46885: .9, SS46889: 1; See also Marella et al., 2012",PENDING,PENDING,,,
shiu_table3_row_013,held_out,13,aster,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS45679: 0; SS45680: 0: SS45682: 0,PENDING,PENDING,,,
shiu_table3_row_014,development,14,seagull,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS41402: 0,PENDING,PENDING,,,
shiu_table3_row_015,development,15,mist,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS34739: 0,PENDING,PENDING,,,
shiu_table3_row_016,development,16,kitty,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS41391: 0,PENDING,PENDING,,,
shiu_table3_row_017,development,17,fudog,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS35291: 0; See also Shiu, Sterne et al., 2022",PENDING,PENDING,,,
shiu_table3_row_018,held_out,18,aDT6,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS39040:0; SS39052:0; SS39054:0,PENDING,PENDING,,,
shiu_table3_row_019,development,19,aSG1,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS45907:0; SS45898:0; SS45913:0,PENDING,PENDING,,,
shiu_table3_row_020,development,20,aSG7,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS43327: 0; SS43329: 0; SS45915: 0; SS45921:0; SS45926:0; SS45929: 0; SS46202: 0;,PENDING,PENDING,,,
shiu_table3_row_021,development,21,amulet,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS32423: 0,PENDING,PENDING,,,
shiu_table3_row_022,held_out,22,asteroid,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS35282: 0; SS42335: 0,PENDING,PENDING,,,
shiu_table3_row_023,development,23,bamboo,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS44928, SS44937: 0",PENDING,PENDING,,,
shiu_table3_row_024,development,24,basket,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS29227: 0,PENDING,PENDING,,,
shiu_table3_row_025,development,25,bluebell,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS31328, SS31341: 0",PENDING,PENDING,,,
shiu_table3_row_026,held_out,26,bobber,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS29032: 0,PENDING,PENDING,,,
shiu_table3_row_027,development,27,box,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS35283: 0,PENDING,PENDING,,,
shiu_table3_row_028,development,28,bridle,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS50095, SS50120: 0",PENDING,PENDING,,,
shiu_table3_row_029,development,29,brontosaraus,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS40950: 0,PENDING,PENDING,,,
shiu_table3_row_030,development,30,broom,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS39923: 0,PENDING,PENDING,,,
shiu_table3_row_031,held_out,31,buddy,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS47281, SS47283: 0",PENDING,PENDING,,,
shiu_table3_row_032,development,32,coy,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS51996, SS51997: 0",PENDING,PENDING,,,
shiu_table3_row_033,development,33,crab,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS45693, SS45694, SS45700: 0",PENDING,PENDING,,,
shiu_table3_row_034,development,34,cradle,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS48137: 0,PENDING,PENDING,,,
shiu_table3_row_035,development,35,damsel,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS38113: 0,PENDING,PENDING,,,
shiu_table3_row_036,development,36,doublescoop,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS47081:0,PENDING,PENDING,,,
shiu_table3_row_037,development,37,earmuff,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS31063: 0,PENDING,PENDING,,,
shiu_table3_row_038,development,38,eiffel,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS52029, SS52034: 0",PENDING,PENDING,,,
shiu_table3_row_039,held_out,39,fluff,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS44912: 0,PENDING,PENDING,,,
shiu_table3_row_040,development,40,foxglove,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS40909, SS40926: 0",PENDING,PENDING,,,
shiu_table3_row_041,development,41,gallinule,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS32060, SS34089, SS34096, SS31362: 0",PENDING,PENDING,,,
shiu_table3_row_042,development,42,gazebo,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS28878: 0,PENDING,PENDING,,,
shiu_table3_row_043,held_out,43,genie,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS35835: 0,PENDING,PENDING,,,
shiu_table3_row_044,held_out,44,gnome,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS37818: 0,PENDING,PENDING,,,
shiu_table3_row_045,held_out,45,good_dog,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS47293: 0,PENDING,PENDING,,,
shiu_table3_row_046,development,46,gumdrop,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS46373: 0,PENDING,PENDING,,,
shiu_table3_row_047,development,47,handle,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS42328, SS47287: 0",PENDING,PENDING,,,
shiu_table3_row_048,development,48,handup,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS47287: 0,PENDING,PENDING,,,
shiu_table3_row_049,held_out,49,haystack,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS32391: 0,PENDING,PENDING,,,
shiu_table3_row_050,development,50,horn,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS38555: 0,PENDING,PENDING,,,
shiu_table3_row_051,development,51,horntail,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS51950: 0,PENDING,PENDING,,,
shiu_table3_row_052,development,52,horseshoe,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS41410, SS41414, SS41397: 0",PENDING,PENDING,,,
shiu_table3_row_053,held_out,53,hound,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS47232: 0,PENDING,PENDING,,,
shiu_table3_row_054,development,54,hyacinth,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS39890: 0,PENDING,PENDING,,,
shiu_table3_row_055,development,55,justice,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS29813: 0,PENDING,PENDING,,,
shiu_table3_row_056,held_out,56,kelp,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS39895, SS43885, SS43889: 0",PENDING,PENDING,,,
shiu_table3_row_057,held_out,57,knees,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS42927: 0,PENDING,PENDING,,,
shiu_table3_row_058,development,58,kokopelli,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS38523: 0,PENDING,PENDING,,,
shiu_table3_row_059,development,59,landslide,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS38119: 0,PENDING,PENDING,,,
shiu_table3_row_060,held_out,60,lion,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS36657: 0,PENDING,PENDING,,,
shiu_table3_row_061,held_out,61,mandala,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS38164, SS38165: 0",PENDING,PENDING,,,
shiu_table3_row_062,development,62,marge,positive,0.1,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS32463: 0.1,PENDING,PENDING,,,
shiu_table3_row_063,held_out,63,meteor,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS35420: 0,PENDING,PENDING,,,
shiu_table3_row_064,development,64,mime,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS47275: 0,PENDING,PENDING,,,
shiu_table3_row_065,development,65,moor,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS38140, SS45952, SS51939: 0",PENDING,PENDING,,,
shiu_table3_row_066,development,66,mothership,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS38535: 0,PENDING,PENDING,,,
shiu_table3_row_067,held_out,67,mute,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS42606: 0,PENDING,PENDING,,,
shiu_table3_row_068,development,68,nagini,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS47322: 0,PENDING,PENDING,,,
shiu_table3_row_069,development,69,nori,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS50701: 0,PENDING,PENDING,,,
shiu_table3_row_070,development,70,oink,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS47078: 0,PENDING,PENDING,,,
shiu_table3_row_071,held_out,71,OinkT,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS32394: 0,PENDING,PENDING,,,
shiu_table3_row_072,development,72,oval,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS39916: 0,PENDING,PENDING,,,
shiu_table3_row_073,held_out,73,pSG1,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS45940, SS45950, SS45937: 0",PENDING,PENDING,,,
shiu_table3_row_074,development,74,peacock,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS30409: 0,PENDING,PENDING,,,
shiu_table3_row_075,development,75,peafowl,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS37792: 0,PENDING,PENDING,,,
shiu_table3_row_076,held_out,76,peahen,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS39038: 0,PENDING,PENDING,,,
